0,# 0 0 target:0 c+:19 c-:985 score:818.9734402059925 score+:1949.6343320137528 score-:4734.144028714128 nb:4 =l_0c_1 l_0c_8 l_0c_2 l_0c_17 
1,# 1 1 target:0 c+:23 c-:1071 score:571.5069306791703 score+:1592.9458807285885 score-:3536.0694450377678 nb:4 =l_0c_10 l_0c_7 l_0c_14 l_0c_9 
2,# 2 2 target:0 c+:4 c-:433 score:490.4444517595806 score+:331.0974382884018 score-:1704.3419032152276 nb:3 =l_0c_18 l_0c_5 l_0c_4 
3,# 3 3 target:0 c+:9 c-:636 score:436.2041309990665 score+:1002.2623914475199 score-:3270.523872642665 nb:7 =l_0c_15 l_0c_3 l_0c_14 l_0c_16 l_0c_9 l_0c_19 l_0c_0 
4,# 4 4 target:0 c+:15 c-:683 score:372.3277245596657 score+:1747.2562529087654 score-:3683.3604206190266 nb:7 =l_0c_15 l_0c_17 l_0c_0 l_0c_9 l_0c_10 l_0c_3 l_0c_19 
5,# 5 5 target:0 c+:46 c-:1245 score:242.7697499860426 score+:3570.4410010921315 score-:4395.858151044677 nb:4 =l_0c_3 l_0c_7 l_0c_14 l_0c_19 
6,# 6 6 target:0 c+:4 c-:415 score:151.68016533521853 score+:389.71396321294986 score-:1087.442723754955 nb:6 =l_0c_13 l_0c_0 l_0c_15 l_0c_9 l_0c_3 l_0c_10 
7,# 7 7 target:0 c+:1 c-:160 score:81.46649490043407 score+:105.24672784105526 score-:479.9926043830519 nb:6 =l_0c_11 l_0c_0 l_0c_13 l_0c_9 l_0c_4 l_0c_5 
8,# 8 8 target:0 c+:1 c-:225 score:77.60616714675459 score+:51.16487784270908 score-:268.46214585362196 nb:3 =l_0c_18 l_0c_2 l_0c_3 
9,# 9 9 target:0 c+:0 c-:190 score:71.68188042706346 score+:0 score-:415.754906476968 nb:8 =l_0c_12 l_0c_1 l_0c_8 l_0c_2 l_0c_14 l_0c_0 l_0c_16 l_0c_9 
10,# 10 0 target:1 c+:45 c-:245 score:902.63466292163 score+:2562.6801984087124 score-:576.8839399811262 nb:2 =l_0c_6 l_0c_14 
11,# 11 1 target:1 c+:26 c-:181 score:559.1323415714958 score+:3371.531935572723 score-:1135.00256928674 nb:5 =l_0c_12 l_0c_5 l_0c_4 l_0c_8 l_0c_2 
12,# 12 2 target:1 c+:26 c-:162 score:272.81893575382173 score+:2113.317744369584 score-:694.6592784497111 nb:7 =l_0c_13 l_0c_0 l_0c_15 l_0c_9 l_0c_3 l_0c_14 l_0c_16 
13,# 13 3 target:1 c+:32 c-:188 score:252.21412043932713 score+:1289.5377100375013 score-:583.3381728073853 nb:3 =l_0c_6 l_0c_7 l_0c_0 
14,# 14 4 target:1 c+:18 c-:249 score:212.87783208839699 score+:2379.5806686701467 score-:1528.0693403165587 nb:5 =l_0c_18 l_0c_4 l_0c_1 l_0c_2 l_0c_7 
15,# 15 5 target:1 c+:29 c-:201 score:88.46052313925972 score+:1057.4278919358644 score-:756.6621132623812 nb:4 =l_0c_4 l_0c_2 l_0c_14 l_0c_9 
16,# 16 6 target:1 c+:31 c-:671 score:80.32960081602835 score+:3863.9502435473382 score-:3446.236319303991 nb:7 =l_0c_5 l_0c_15 l_0c_0 l_0c_9 l_0c_3 l_0c_19 l_0c_16 
17,# 17 7 target:1 c+:4 c-:34 score:60.28783580538187 score+:297.3435145831106 score-:128.5375743280414 nb:3 =l_0c_4 l_0c_8 l_0c_7 
18,# 18 8 target:1 c+:9 c-:170 score:37.91253560414154 score+:896.9626030338152 score-:768.059981979734 nb:4 =l_0c_12 l_0c_15 l_0c_2 l_0c_10 
19,# 19 9 target:1 c+:1 c-:0 score:32.77315462202942 score+:170.42040403455297 score-:0 nb:7 =l_0c_12 l_0c_18 l_0c_1 l_0c_3 l_0c_0 l_0c_19 l_0c_14 
20,# 20 0 target:0 c+:17 c-:810 score:509.1291429330851 score+:601.2211548372298 score-:1415.827783530166 nb:1 =l_1c_17 
21,# 21 1 target:0 c+:2 c-:379 score:401.3131273342086 score+:203.95359069055067 score-:1809.2061000273852 nb:5 =l_1c_3 l_1c_7 l_1c_13 l_1c_0 l_1c_12 
22,# 22 2 target:0 c+:50 c-:1226 score:294.5384764409281 score+:1229.3659290102596 score-:1877.3505771803013 nb:2 =l_1c_19 l_1c_11 
23,# 23 3 target:0 c+:11 c-:591 score:279.8982604749365 score+:720.7265833657956 score-:1840.3196252655416 nb:5 =l_1c_14 l_1c_1 l_1c_10 l_1c_8 l_1c_2 
24,# 24 4 target:0 c+:45 c-:1076 score:165.25845129512788 score+:2204.2392068450017 score-:2766.1179412484366 nb:4 =l_1c_12 l_1c_4 l_1c_0 l_1c_13 
25,# 25 5 target:0 c+:9 c-:492 score:151.71825137303756 score+:534.1728005469357 score-:958.983904391441 nb:3 =l_1c_3 l_1c_2 l_1c_10 
26,# 26 6 target:0 c+:44 c-:1203 score:123.23422402118103 score+:1672.337005499797 score-:2017.392832759104 nb:3 =l_1c_2 l_1c_18 l_1c_11 
27,# 27 7 target:0 c+:0 c-:122 score:123.10550190774315 score+:0 score-:714.0119110649101 nb:8 =l_1c_7 l_1c_13 l_1c_0 l_1c_15 l_1c_10 l_1c_16 l_1c_5 l_1c_4 
28,# 28 8 target:0 c+:49 c-:1219 score:70.94241714530358 score+:1941.050238617422 score-:2139.689006624272 nb:3 =l_1c_8 l_1c_9 l_1c_4 
29,# 29 9 target:0 c+:0 c-:56 score:65.15209497400336 score+:0 score-:221.51712291161147 nb:4 =l_1c_3 l_1c_17 l_1c_19 l_1c_13 
30,# 30 0 target:1 c+:37 c-:356 score:559.5775553263045 score+:3146.3792761352765 score-:1243.8155880258412 nb:4 =l_1c_3 l_1c_8 l_1c_9 l_1c_18 
