0,# 0 0 target:0 c+:0 c-:0 score:3.9529695649629737 score+:0 score-:0 nb:1 =l_0c_6
1,# 1 0 target:1 c+:0 c-:0 score:0.05824611465897078 score+:0 score-:0 nb:1 =l_0c_2
2,# 2 0 target:0 c+:0 c-:0 score:12.92841898964673 score+:0 score-:0 nb:5 =l_1c_0 l_1c_3 l_1c_10 l_1c_12 l_1c_16
3,# 3 1 target:0 c+:0 c-:0 score:10.415396096790005 score+:0 score-:0 nb:1 =l_1c_11
4,# 4 2 target:0 c+:0 c-:0 score:9.430938654786246 score+:0 score-:0 nb:1 =l_1c_15
5,# 5 0 target:1 c+:0 c-:0 score:22.327913027806517 score+:0 score-:0 nb:1 =l_1c_5
6,# 6 1 target:1 c+:0 c-:0 score:19.492677172534115 score+:0 score-:0 nb:1 =l_1c_4
7,# 7 2 target:1 c+:0 c-:0 score:12.11822583612576 score+:0 score-:0 nb:1 =l_1c_19
8,# 8 3 target:1 c+:0 c-:0 score:9.402782743362025 score+:0 score-:0 nb:4 =l_1c_0 l_1c_6 l_1c_12 l_1c_18
9,# 9 0 target:0 c+:0 c-:0 score:490.9932104864045 score+:0 score-:0 nb:9 =l_2c_0 l_2c_3 l_2c_6 l_2c_7 l_2c_9 l_2c_10 l_2c_13 l_2c_15 l_2c_18
10,# 10 1 target:0 c+:0 c-:0 score:263.71510345888 score+:0 score-:0 nb:1 =l_2c_12
11,# 11 2 target:0 c+:0 c-:0 score:40.124248337520676 score+:0 score-:0 nb:4 =l_2c_0 l_2c_3 l_2c_8 l_2c_16
12,# 12 3 target:0 c+:0 c-:0 score:28.921186855547564 score+:0 score-:0 nb:4 =l_2c_0 l_2c_9 l_2c_11 l_2c_17
13,# 13 4 target:0 c+:0 c-:0 score:25.718776209584448 score+:0 score-:0 nb:4 =l_2c_0 l_2c_3 l_2c_4 l_2c_14
14,# 14 5 target:0 c+:0 c-:0 score:24.033427137265452 score+:0 score-:0 nb:4 =l_2c_0 l_2c_1 l_2c_3 l_2c_5
15,# 15 6 target:0 c+:0 c-:0 score:20.176950509906472 score+:0 score-:0 nb:3 =l_2c_0 l_2c_3 l_2c_19
16,# 16 7 target:0 c+:0 c-:0 score:15.454028353384079 score+:0 score-:0 nb:3 =l_2c_0 l_2c_2 l_2c_3
17,# 17 0 target:1 c+:0 c-:0 score:500.44273375696804 score+:0 score-:0 nb:4 =l_2c_0 l_2c_4 l_2c_8 l_2c_18
18,# 18 1 target:1 c+:0 c-:0 score:151.10424836261095 score+:0 score-:0 nb:6 =l_2c_0 l_2c_2 l_2c_16 l_2c_17 l_2c_18 l_2c_19
19,# 19 2 target:1 c+:0 c-:0 score:115.58484042462672 score+:0 score-:0 nb:7 =l_2c_0 l_2c_1 l_2c_10 l_2c_11 l_2c_13 l_2c_14 l_2c_19
20,# 20 3 target:1 c+:0 c-:0 score:60.15281885037817 score+:0 score-:0 nb:4 =l_2c_0 l_2c_5 l_2c_8 l_2c_18
21,# 21 4 target:1 c+:0 c-:0 score:2.506916299343928 score+:0 score-:0 nb:5 =l_2c_0 l_2c_6 l_2c_13 l_2c_14 l_2c_19
