0,# 0 0 target:1 c+:0 c-:0 score:0.05824611465897078  score+:0 score-:0 nb:1 =l_0c_2
1,# 1 0 target:0 c+:0 c-:0 score:3.9529695649629737  score+:0 score-:0 nb:1 =l_0c_6
2,# 2 0 target:1 c+:0 c-:0 score:22.327913027806517  score+:0 score-:0 nb:1 =l_1c_5
3,# 3 1 target:1 c+:0 c-:0 score:19.492677172534115  score+:0 score-:0 nb:1 =l_1c_4
4,# 4 2 target:1 c+:0 c-:0 score:12.11822583612576  score+:0 score-:0 nb:1 =l_1c_19
5,# 5 3 target:1 c+:0 c-:0 score:7.7343783378250635  score+:0 score-:0 nb:5 =l_1c_11 l_1c_12 l_1c_13 l_1c_15 l_1c_18
6,# 6 0 target:0 c+:0 c-:0 score:10.415396096790005  score+:0 score-:0 nb:1 =l_1c_11
7,# 7 1 target:0 c+:0 c-:0 score:9.430938654786246  score+:0 score-:0 nb:1 =l_1c_15
8,# 8 0 target:1 c+:0 c-:0 score:110.21099848183121  score+:0 score-:0 nb:3 =l_2c_17 l_2c_18 l_2c_19
9,# 9 1 target:1 c+:0 c-:0 score:159.86149782546823  score+:0 score-:0 nb:2 =l_2c_8 l_2c_10
10,# 10 2 target:1 c+:0 c-:0 score:141.41542028750837  score+:0 score-:0 nb:2 =l_2c_16 l_2c_18
11,# 11 3 target:1 c+:0 c-:0 score:45.850657557845494  score+:0 score-:0 nb:2 =l_2c_8 l_2c_13
12,# 12 4 target:1 c+:0 c-:0 score:38.129572228550416  score+:0 score-:0 nb:2 =l_2c_11 l_2c_13
13,# 13 5 target:1 c+:0 c-:0 score:1.0959977644579624  score+:0 score-:0 nb:2 =l_2c_5 l_2c_8
14,# 14 0 target:0 c+:0 c-:0 score:674.4647453241247  score+:0 score-:0 nb:6 =l_2c_3 l_2c_6 l_2c_7 l_2c_9 l_2c_10 l_2c_15
15,# 15 1 target:0 c+:0 c-:0 score:433.9052615483988  score+:0 score-:0 nb:3 =l_2c_12 l_2c_13 l_2c_18
16,# 16 2 target:0 c+:0 c-:0 score:60.93300592193802  score+:0 score-:0 nb:2 =l_2c_3 l_2c_14
17,# 17 3 target:0 c+:0 c-:0 score:30.03428281360178  score+:0 score-:0 nb:2 =l_2c_15 l_2c_16
18,# 18 4 target:0 c+:0 c-:0 score:44.68228439442594  score+:0 score-:0 nb:4 =l_2c_3 l_2c_4 l_2c_5 l_2c_17
19,# 19 5 target:0 c+:0 c-:0 score:35.6085845805304  score+:0 score-:0 nb:2 =l_2c_3 l_2c_8
20,# 20 6 target:0 c+:0 c-:0 score:23.437758476961484  score+:0 score-:0 nb:2 =l_2c_3 l_2c_11
21,# 21 7 target:0 c+:0 c-:0 score:23.437758476961484  score+:0 score-:0 nb:2 =l_2c_0 l_2c_3
22,# 22 8 target:0 c+:0 c-:0 score:25.68843734926632  score+:0 score-:0 nb:2 =l_2c_1 l_2c_3
23,# 23 9 target:0 c+:0 c-:0 score:3.542059838509891  score+:0 score-:0 nb:8 =l_2c_2 l_2c_3 l_2c_6 l_2c_7 l_2c_9 l_2c_12 l_2c_15 l_2c_18
