0,# 0 0 target:0 c+:129 c-:915 score:942.0422186068986 score+:846.6043436609758 score-:4049.5478869244316 nb:4 =l_0c_9 l_0c_13 l_0c_4 l_0c_2 
1,# 1 1 target:0 c+:272 c-:1098 score:807.8976782023797 score+:2383.681637208404 score-:6100.01095693935 nb:6 =l_0c_13 l_0c_7 l_0c_5 l_0c_11 l_0c_14 l_0c_1 
2,# 2 2 target:0 c+:247 c-:882 score:542.9273332374578 score+:1569.918171484188 score-:4067.383904376494 nb:6 =l_0c_14 l_0c_18 l_0c_15 l_0c_2 l_0c_8 l_0c_17 
3,# 3 3 target:0 c+:406 c-:1299 score:536.3341161646363 score+:2551.0858192842848 score-:4374.621814244048 nb:4 =l_0c_9 l_0c_15 l_0c_10 l_0c_12 
4,# 4 4 target:0 c+:1018 c-:1915 score:351.68928050019235 score+:5697.06687602134 score-:7103.82399802211 nb:5 =l_0c_5 l_0c_16 l_0c_12 l_0c_11 l_0c_6 
5,# 5 5 target:0 c+:865 c-:1815 score:296.3110315361689 score+:7508.971858983743 score-:9227.575841893522 nb:8 =l_0c_7 l_0c_1 l_0c_14 l_0c_11 l_0c_0 l_0c_8 l_0c_2 l_0c_10 
6,# 6 6 target:0 c+:1005 c-:1914 score:216.16749472492575 score+:4607.34826021736 score-:5472.018239117063 nb:5 =l_0c_1 l_0c_0 l_0c_8 l_0c_4 l_0c_17 
7,# 7 7 target:0 c+:42 c-:658 score:210.59628574758653 score+:402.9752405541798 score-:1498.0759264416297 nb:7 =l_0c_9 l_0c_13 l_0c_4 l_0c_2 l_0c_16 l_0c_8 l_0c_3 
8,# 8 8 target:0 c+:288 c-:649 score:126.52050641890565 score+:2025.7127433086862 score-:2607.707072835652 nb:6 =l_0c_13 l_0c_6 l_0c_0 l_0c_3 l_0c_4 l_0c_8 
9,# 9 9 target:0 c+:517 c-:1200 score:118.03182144161076 score+:3254.7044273539755 score-:3797.650805985385 nb:6 =l_0c_16 l_0c_15 l_0c_12 l_0c_10 l_0c_2 l_0c_3 
10,# 10 0 target:1 c+:970 c-:1076 score:464.9891442438542 score+:8635.115546788897 score-:5938.178510174543 nb:8 =l_0c_14 l_0c_18 l_0c_16 l_0c_3 l_0c_12 l_0c_17 l_0c_8 l_0c_0 
11,# 11 1 target:1 c+:869 c-:891 score:442.7990222823445 score+:5696.699294844021 score-:3659.8237923452366 nb:6 =l_0c_18 l_0c_15 l_0c_6 l_0c_2 l_0c_8 l_0c_4 
12,# 12 2 target:1 c+:356 c-:244 score:283.5035362661632 score+:1726.580473153597 score-:762.6684498486419 nb:4 =l_0c_7 l_0c_1 l_0c_11 l_0c_6 
13,# 13 3 target:1 c+:224 c-:110 score:157.33398928546112 score+:1062.9003559762746 score-:339.1640052631535 nb:6 =l_0c_5 l_0c_14 l_0c_0 l_0c_12 l_0c_4 l_0c_17 
14,# 14 4 target:1 c+:541 c-:709 score:123.91584960783132 score+:1957.0814222785764 score-:1610.1170433766488 nb:3 =l_0c_1 l_0c_15 l_0c_10 
15,# 15 5 target:1 c+:231 c-:283 score:75.66289742295436 score+:2597.4762198648914 score-:2022.4381994504386 nb:11 =l_0c_16 l_0c_11 l_0c_15 l_0c_19 l_0c_12 l_0c_10 l_0c_4 l_0c_2 l_0c_6 l_0c_17 l_0c_3 
16,# 16 6 target:1 c+:574 c-:536 score:63.53436711818182 score+:2596.8598140561744 score-:2228.3604847707197 nb:8 =l_0c_18 l_0c_11 l_0c_0 l_0c_8 l_0c_17 l_0c_10 l_0c_19 l_0c_3 
17,# 17 7 target:1 c+:285 c-:359 score:62.9284733697873 score+:1775.5887846301077 score-:1523.8748911509585 nb:5 =l_0c_7 l_0c_18 l_0c_0 l_0c_8 l_0c_3 
18,# 18 8 target:1 c+:244 c-:125 score:48.09725408122347 score+:960.3001556440838 score-:594.7610246267856 nb:11 =l_0c_14 l_0c_16 l_0c_3 l_0c_8 l_0c_11 l_0c_0 l_0c_2 l_0c_4 l_0c_17 l_0c_19 l_0c_10 
19,# 19 9 target:1 c+:22 c-:10 score:23.010940135421407 score+:208.04865520249174 score-:60.778638335794746 nb:9 =l_0c_9 l_0c_13 l_0c_4 l_0c_2 l_0c_16 l_0c_6 l_0c_12 l_0c_8 l_0c_3 
20,# 20 0 target:0 c+:500 c-:1724 score:973.2221368802083 score+:2615.4586172443423 score-:5924.413882637051 nb:4 =l_1c_14 l_1c_9 l_1c_8 l_1c_19 
21,# 21 1 target:0 c+:82 c-:635 score:660.5391311750673 score+:369.7651824147981 score-:1822.9512709999462 nb:2 =l_1c_18 l_1c_11 
22,# 22 2 target:0 c+:311 c-:1188 score:550.8145004486405 score+:720.4331567595577 score-:1601.7363574773826 nb:1 =l_1c_18 
23,# 23 3 target:0 c+:255 c-:1179 score:476.7540177312149 score+:1727.5656205185066 score-:4206.686512720824 nb:7 =l_1c_9 l_1c_8 l_1c_12 l_1c_17 l_1c_6 l_1c_7 l_1c_3 
24,# 24 4 target:0 c+:225 c-:835 score:423.0222892881347 score+:712.5296585378431 score-:1643.1786949717396 nb:2 =l_1c_0 l_1c_7 
25,# 25 5 target:0 c+:152 c-:577 score:411.87960921150955 score+:939.4398105904475 score-:2092.702716382674 nb:3 =l_1c_4 l_1c_14 l_1c_9 
26,# 26 6 target:0 c+:37 c-:597 score:228.70595149819826 score+:294.31420467721495 score-:1346.3615815689268 nb:6 =l_1c_11 l_1c_9 l_1c_3 l_1c_10 l_1c_6 l_1c_13 
27,# 27 7 target:0 c+:120 c-:776 score:216.5152351274279 score+:688.7021362060977 score-:1684.672217792266 nb:6 =l_1c_18 l_1c_3 l_1c_10 l_1c_6 l_1c_17 l_1c_1 
28,# 28 8 target:0 c+:593 c-:1720 score:163.46661531048596 score+:2840.375014606153 score-:3592.3214450343885 nb:6 =l_1c_9 l_1c_7 l_1c_10 l_1c_17 l_1c_1 l_1c_13 
29,# 29 9 target:0 c+:135 c-:472 score:104.96749926051032 score+:1066.7610086615127 score-:1549.6115052598602 nb:6 =l_1c_4 l_1c_12 l_1c_13 l_1c_3 l_1c_17 l_1c_1 
30,# 30 0 target:1 c+:636 c-:603 score:456.404636987617 score+:4842.079036646303 score-:2742.6177065032653 nb:6 =l_1c_0 l_1c_15 l_1c_13 l_1c_19 l_1c_10 l_1c_6 
31,# 31 1 target:1 c+:553 c-:498 score:439.6211955870882 score+:5290.262871504599 score-:3004.232654451741 nb:7 =l_1c_11 l_1c_12 l_1c_3 l_1c_15 l_1c_13 l_1c_6 l_1c_7 
32,# 32 2 target:1 c+:230 c-:204 score:248.54348941656832 score+:1278.1498654362663 score-:731.3541887198159 nb:2 =l_1c_16 l_1c_2 
33,# 33 3 target:1 c+:1314 c-:2088 score:195.2905525652484 score+:6657.54996584373 score-:5876.387755582737 nb:5 =l_1c_12 l_1c_3 l_1c_6 l_1c_1 l_1c_13 
34,# 34 4 target:1 c+:69 c-:11 score:121.54263377739862 score+:543.9933409662624 score-:57.82280585666791 nb:5 =l_1c_18 l_1c_11 l_1c_12 l_1c_10 l_1c_3 
35,# 35 5 target:1 c+:260 c-:139 score:91.37334357271237 score+:1227.2802455178376 score-:806.9628650833606 nb:6 =l_1c_11 l_1c_0 l_1c_10 l_1c_3 l_1c_12 l_1c_6 
36,# 36 6 target:1 c+:58 c-:36 score:63.39963292699779 score+:414.6663085953815 score-:161.06777688739035 nb:5 =l_1c_16 l_1c_7 l_1c_17 l_1c_19 l_1c_1 
37,# 37 7 target:1 c+:58 c-:26 score:63.277328592512845 score+:359.8065025788234 score-:144.66358536427975 nb:4 =l_1c_16 l_1c_18 l_1c_0 l_1c_14 
38,# 38 8 target:1 c+:1348 c-:2121 score:62.03990015110037 score+:1375.7000487424345 score-:1276.436208500674 nb:1 =l_1c_17 
39,# 39 9 target:1 c+:1321 c-:2082 score:42.21531505136363 score+:1745.0085378903887 score-:1677.4640338082068 nb:1 =l_1c_7 
40,# 40 0 target:0 c+:282 c-:1670 score:1622.2614245034538 score+:2421.7748021094267 score-:9884.177354825315 nb:6 =l_2c_8 l_2c_5 l_2c_11 l_2c_18 l_2c_10 l_2c_15 
41,# 41 1 target:0 c+:103 c-:1242 score:986.3571605896368 score+:541.4527822268905 score-:3303.252831877874 nb:3 =l_2c_0 l_2c_13 l_2c_8 
42,# 42 2 target:0 c+:279 c-:1385 score:867.2860963576882 score+:1601.2891603734722 score-:5070.433545804225 nb:5 =l_2c_5 l_2c_3 l_2c_10 l_2c_17 l_2c_1 
43,# 43 3 target:0 c+:407 c-:1545 score:794.0567457902749 score+:1767.0284885791007 score-:3990.387376791871 nb:3 =l_2c_19 l_2c_10 l_2c_6 
44,# 44 4 target:0 c+:457 c-:1564 score:588.2751504384659 score+:2128.1086835313185 score-:4128.244195022103 nb:4 =l_2c_11 l_2c_15 l_2c_1 l_2c_4 
45,# 45 5 target:0 c+:298 c-:1364 score:585.8375494719437 score+:1188.0851359668154 score-:2828.430274488258 nb:3 =l_2c_18 l_2c_12 l_2c_7 
46,# 46 6 target:0 c+:707 c-:1506 score:476.0734504665836 score+:7593.869593836221 score-:10069.451536262455 nb:7 =l_2c_3 l_2c_7 l_2c_10 l_2c_17 l_2c_2 l_2c_15 l_2c_4 
47,# 47 7 target:0 c+:104 c-:1274 score:474.2001515438212 score+:514.7612153967907 score-:1842.5216397194904 nb:3 =l_2c_13 l_2c_8 l_2c_19 
48,# 48 8 target:0 c+:232 c-:875 score:364.8057773271537 score+:1517.2185129963132 score-:2976.441622304928 nb:5 =l_2c_5 l_2c_18 l_2c_14 l_2c_16 l_2c_6 
49,# 49 9 target:0 c+:505 c-:1438 score:280.93615191037327 score+:1958.5981345805965 score-:2745.2193599296415 nb:3 =l_2c_5 l_2c_7 l_2c_9 
50,# 50 0 target:1 c+:1019 c-:1102 score:594.4035327901079 score+:7396.494550638087 score-:5018.880419477656 nb:5 =l_2c_14 l_2c_12 l_2c_16 l_2c_9 l_2c_2 
51,# 51 1 target:1 c+:1086 c-:1323 score:516.7187789547097 score+:8847.91305827659 score-:6781.037942457751 nb:5 =l_2c_3 l_2c_7 l_2c_16 l_2c_17 l_2c_2 
52,# 52 2 target:1 c+:705 c-:626 score:353.74985762796734 score+:3161.672024282552 score-:1958.922508347463 nb:4 =l_2c_9 l_2c_2 l_2c_15 l_2c_1 
53,# 53 3 target:1 c+:592 c-:585 score:327.156857742522 score+:5973.784334149221 score-:4076.274559242593 nb:8 =l_2c_0 l_2c_13 l_2c_5 l_2c_11 l_2c_19 l_2c_3 l_2c_17 l_2c_2 
54,# 54 4 target:1 c+:199 c-:56 score:180.5148100217826 score+:1075.3648770690952 score-:244.9967509688953 nb:6 =l_2c_0 l_2c_5 l_2c_17 l_2c_6 l_2c_2 l_2c_15 
55,# 55 5 target:1 c+:383 c-:311 score:146.64432516258563 score+:2642.6994847680753 score-:1880.14899392263 nb:7 =l_2c_0 l_2c_11 l_2c_14 l_2c_19 l_2c_12 l_2c_7 l_2c_2 
56,# 56 6 target:1 c+:233 c-:225 score:105.05745370360836 score+:1676.9611855541846 score-:1193.6968985175863 nb:6 =l_2c_8 l_2c_5 l_2c_3 l_2c_12 l_2c_6 l_2c_2 
57,# 57 7 target:1 c+:952 c-:1312 score:98.55680900775201 score+:3267.575993692035 score-:2991.616928470329 nb:3 =l_2c_14 l_2c_1 l_2c_4 
58,# 58 8 target:1 c+:78 c-:65 score:65.7169634713077 score+:807.0875352203768 score-:425.9291470867922 nb:8 =l_2c_11 l_2c_18 l_2c_19 l_2c_3 l_2c_16 l_2c_2 l_2c_1 l_2c_4 
59,# 59 9 target:1 c+:564 c-:610 score:64.30939104356833 score+:2532.097136733844 score-:2274.8595725595706 nb:5 =l_2c_10 l_2c_6 l_2c_2 l_2c_15 l_2c_4 
60,# 60 0 target:0 c+:659 c-:1550 score:512.6543823713091 score+:1657.5912737859894 score-:2477.838285580084 nb:1 =l_3c_4 
61,# 61 1 target:0 c+:32 c-:87 score:107.54008268755484 score+:236.3844382534116 score-:408.44857055349934 nb:1 =l_3c_6 
62,# 62 2 target:0 c+:215 c-:350 score:22.70442274404263 score+:1049.457823262778 score-:1085.7848996532462 nb:1 =l_3c_2 
63,# 63 3 target:0 c+:1335 c-:2115 score:9.325155889496045 score+:2168.191349776964 score-:2183.111599200158 nb:1 =l_3c_3 
64,# 64 0 target:1 c+:40 c-:8 score:192.56254962013804 score+:352.9654685054016 score-:44.86538911318071 nb:1 =l_3c_10 
65,# 65 1 target:1 c+:55 c-:32 score:170.79266878870922 score+:433.60369488261534 score-:160.33542482068057 nb:1 =l_3c_8 
