0,# 0 0 target:0 c+:0 c-:0 score:472.3875528130096 score+:0 score-:0 nb:3 =l_0c_0 l_0c_2 l_0c_5
1,# 1 1 target:0 c+:0 c-:0 score:298.5730011235263 score+:0 score-:0 nb:1 =l_0c_6
2,# 2 2 target:0 c+:0 c-:0 score:275.567151233627 score+:0 score-:0 nb:1 =l_0c_19
3,# 3 3 target:0 c+:0 c-:0 score:710.7191743802036 score+:0 score-:0 nb:7 =l_0c_0 l_0c_3 l_0c_4 l_0c_7 l_0c_13 l_0c_15 l_0c_16
4,# 4 4 target:0 c+:0 c-:0 score:437.34397420544565 score+:0 score-:0 nb:4 =l_0c_0 l_0c_10 l_0c_12 l_0c_18
5,# 5 5 target:0 c+:0 c-:0 score:226.89642849381482 score+:0 score-:0 nb:5 =l_0c_0 l_0c_2 l_0c_8 l_0c_11 l_0c_14
6,# 6 6 target:0 c+:0 c-:0 score:92.89305965516094 score+:0 score-:0 nb:4 =l_0c_0 l_0c_1 l_0c_17 l_0c_18
7,# 7 7 target:0 c+:0 c-:0 score:62.80689454451311 score+:0 score-:0 nb:1 =l_0c_9
8,# 8 0 target:1 c+:0 c-:0 score:382.99032869108845 score+:0 score-:0 nb:4 =l_0c_0 l_0c_4 l_0c_12 l_0c_16
9,# 9 1 target:1 c+:0 c-:0 score:177.835426281737 score+:0 score-:0 nb:4 =l_0c_0 l_0c_10 l_0c_14 l_0c_19
10,# 10 2 target:1 c+:0 c-:0 score:212.99996757836007 score+:0 score-:0 nb:4 =l_0c_0 l_0c_7 l_0c_8 l_0c_18
11,# 11 3 target:1 c+:0 c-:0 score:90.16713247245205 score+:0 score-:0 nb:4 =l_0c_0 l_0c_3 l_0c_4 l_0c_12
12,# 12 4 target:1 c+:0 c-:0 score:39.48114845919201 score+:0 score-:0 nb:5 =l_0c_0 l_0c_10 l_0c_11 l_0c_15 l_0c_17
13,# 13 5 target:1 c+:0 c-:0 score:18.391029888299755 score+:0 score-:0 nb:4 =l_0c_0 l_0c_1 l_0c_4 l_0c_12
14,# 14 6 target:1 c+:0 c-:0 score:16.470912118454283 score+:0 score-:0 nb:4 =l_0c_0 l_0c_4 l_0c_5 l_0c_12
15,# 15 7 target:1 c+:0 c-:0 score:4.768640032224021 score+:0 score-:0 nb:3 =l_0c_0 l_0c_13 l_0c_18
16,# 16 0 target:0 c+:0 c-:0 score:1503.7180101167976 score+:0 score-:0 nb:7 =l_1c_0 l_1c_1 l_1c_6 l_1c_10 l_1c_11 l_1c_14 l_1c_17
17,# 17 1 target:0 c+:0 c-:0 score:266.71116063869454 score+:0 score-:0 nb:1 =l_1c_12
